ID	Length	SRX6637057	SRX6637058	SRX6637059	SRX6637060
ENSG00000168884	25999	578.0	675.0	590.0	694.0
ENSG00000240489	4499	21.0	21.0	71.0	88.0
ENSG00000196504	58999	1669.0	1564.0	3186.0	3249.0
ENSG00000134480	5499	187.0	207.0	108.0	160.0
ENSG00000166321	5499	352.0	396.0	304.0	293.0
ENSG00000248702	14999	0.0	0.0	578.0	395.0
ENSG00000146247	4999	138.0	123.0	66.0	68.0
ENSG00000146007	4499	8.0	9.0	41.0	98.0
ENSG00000214846	7499	5.0	5.0	91.0	104.0
ENSG00000178935	19499	232.0	223.0	1289.0	1018.0
ENSG00000269292	5999	1011.0	945.0	777.0	902.0
ENSG00000121653	4499	63.0	53.0	137.0	76.0
ENSG00000136305	4999	162.0	93.0	123.0	151.0
ENSG00000157350	7999	555.0	620.0	671.0	581.0
ENSG00000252645	4999	233.0	235.0	176.0	187.0
ENSG00000236002	12499	246.0	166.0	176.0	139.0
ENSG00000214223	5999	10.0	5.0	40.0	56.0
ENSG00000269753	16499	3.0	5.0	184.0	166.0
ENSG00000059915	8499	612.0	540.0	727.0	677.0
ENSG00000226329	40999	251.0	257.0	1999.0	1655.0
ENSG00000113083	7499	58.0	37.0	57.0	113.0
ENSG00000105281	5999	32.0	18.0	132.0	418.0
ENSG00000150773	4499	407.0	501.0	223.0	237.0
ENSG00000268657	4499	37.0	39.0	66.0	43.0
ENSG00000229715	9999	21.0	26.0	357.0	389.0
ENSG00000110013	10499	768.0	801.0	983.0	1137.0
ENSG00000144357	29999	61.0	49.0	1056.0	1103.0
ENSG00000103429	8499	64.0	55.0	503.0	457.0
ENSG00000137073	33083	959.0	1083.0	564.0	926.0
ENSG00000228653	4999	29.0	31.0	84.0	73.0
ENSG00000226763	3999	8.0	6.0	38.0	53.0
ENSG00000221821	11999	1894.0	1896.0	1327.0	1456.0
ENSG00000267480	4499	274.0	350.0	282.0	241.0
ENSG00000196923	16999	263.0	159.0	1786.0	1969.0
ENSG00000251521	37999	16.0	49.0	1493.0	1220.0
ENSG00000186001	5999	8.0	27.0	116.0	127.0
ENSG00000221322	4999	2482.0	3066.0	3035.0	3017.0
ENSG00000076706	9999	517.0	449.0	277.0	424.0
ENSG00000106245	6999	227.0	177.0	151.0	204.0
ENSG00000186566	31103	26.0	8.0	677.0	551.0
ENSG00000172732	6499	17.0	19.0	90.0	74.0
ENSG00000264125	13499	7.0	0.0	309.0	234.0
ENSG00000091140	9999	4462.0	4311.0	6507.0	8498.0
ENSG00000270066	12999	5.0	14.0	493.0	302.0
ENSG00000238610	3999	12.0	6.0	44.0	37.0
ENSG00000100104	9499	347.0	315.0	367.0	405.0
ENSG00000166444	11999	4348.0	4577.0	4551.0	3826.0
ENSG00000258587	3999	0.0	0.0	90.0	100.0
ENSG00000115053	15999	193.0	159.0	428.0	507.0
ENSG00000105656	3999	20.0	11.0	579.0	508.0
ENSG00000116670	5999	187.0	138.0	43.0	116.0
ENSG00000161526	10499	14.0	18.0	211.0	139.0
ENSG00000254397	8499	465.0	412.0	334.0	456.0
ENSG00000188886	11499	2.0	9.0	303.0	324.0
ENSG00000234773	9499	21.0	25.0	195.0	183.0
ENSG00000074276	4499	292.0	195.0	67.0	84.0
ENSG00000127743	7999	39.0	43.0	103.0	143.0
ENSG00000246451	3999	123.0	71.0	182.0	166.0
ENSG00000267355	4499	49.0	31.0	99.0	122.0
ENSG00000178177	5999	74.0	86.0	42.0	76.0
ENSG00000225830	20499	207.0	219.0	424.0	407.0
ENSG00000167468	19499	5995.0	3933.0	1283.0	2052.0
ENSG00000239317	6499	927.0	689.0	399.0	494.0
ENSG00000078618	14499	1077.0	1227.0	673.0	958.0
ENSG00000272540	4999	541.0	484.0	275.0	303.0
ENSG00000164011	7499	19.0	15.0	148.0	94.0
ENSG00000175634	7999	1515.0	1584.0	1455.0	1429.0
ENSG00000225872	4999	53.0	28.0	217.0	134.0
ENSG00000184432	12075	746.0	736.0	753.0	778.0
ENSG00000108797	4499	331.0	260.0	308.0	258.0
ENSG00000197024	9499	52.0	42.0	158.0	168.0
ENSG00000184602	5999	338.0	302.0	281.0	297.0
ENSG00000173214	8499	132.0	113.0	122.0	106.0
ENSG00000196408	5499	651.0	528.0	205.0	252.0
ENSG00000246596	27499	2414.0	1947.0	2282.0	2749.0
